word,ham,spam
Call2OptOut/674,0,2
CallFREEFONE,0,2
Caller,0,10
Callers,5,0
Callertune,5,0
Calling,0,1
Calls,0,5
Calls1.50ppm,0,1
Calls£1/minMobsmore,0,1
Calls£1/minMobsmoreLKPOBOX177HP51FL,0,2
Calls£1/minmoremobsEMSPOBox45PO139WA,0,2
Camcorder,0,8
Camera,1,10
Camera/Video,0,1
Can,76,4
Canada,1,0
Canary,0,2
Cancel,1,0
Cancer,2,0
Cant,5,4
Captain,2,0
Cardiff,2,0
Care,1,1
Career,1,0
Careful,0,2
Carlos,7,0
Carry,1,0
Case,3,0
Cash,0,5
Cashbin.co.uk,0,1
Catching,1,0
Caught,1,0
Cause,1,0
Cbe,1,0
Celebrated,1,0
Celebrations,1,0
Centre,1,0
Cha,0,2
Chachi,1,0
Chance,0,5
Change,5,0
Channel,0,1
Charles,1,0
Chart,0,1
Chasing,1,0
Chat,0,10
Chat80155,0,1
Cheap,0,2
Check,6,4
Checkmate,1,0
Cheer,2,0
Cheers,4,0
Chef,1,0
Chikku,1,0
Children,0,3
Childrens,1,0
Chinatown,1,0
Chinese,3,0
Chk,1,0
Chloe,0,1
Choose,0,6
Christians,1,0
Christmas,7,0
Ciao,1,0
Cine,1,0
City,0,3
Claim,0,32
Classic,0,1
Click,0,2
Clos1,3,0
Close,0,2
Club,0,9
Club4,0,1
Co,0,5
Co.,2,0
Coca-Cola,0,1
Code,0,17
Code:4xx26,0,1
Coffee,2,0
Cold,1,0
Colin,0,1
Colleagues,9,0
Collect,1,1
Colour,0,2
Com,1,0
Come,16,1
Common,1,0
Companion,1,0
Company,2,0
Compass,1,0
Complete,0,1
Compliments,1,0
Concentrate,1,0
Confidence,2,0
Congrats,7,10
Congratulations,1,14
Consider,1,0
Contact,1,0
Content,0,3
Convey,3,0
Cool,12,0
Cool-Mob,0,1
Cornwall,0,2
Correct,1,1
Cos,20,0
Cost,0,15
Costa,0,7
Costs,0,2
Cost£1.50/pm,0,6
Cougar-Pen,1,0
Could,4,0
Courageous,1,0
Cover,3,0
Coz,10,0
Cps,1,0
Crab,1,0
Crack,3,0
Craigslist,1,0
Cramps,1,0
Crazy,1,2
Credit,0,1
Cribbs,1,0
Croydon,0,7
Crucify,1,0
Crying,1,0
Cs,0,41
Cs/stop,0,3
CsBCM4235WC1N3XX,0,2
CsC,0,1
Ctagg,1,0
Ctargg,1,0
Cttargg,1,0
Ctter,1,0
Cttergg,1,0
Ctxt,0,2
Cud,1,0
Cup,0,3
Cust,0,2
CustCare:08718720201,0,2
Customer,5,10
CustomerCare,0,1
Cut,1,0
Cute,3,0
Cutefrnd,3,0
Cutter,1,0
Cuz,2,0
D,6,2
D=,0,2
DA,7,0
DABOOKS,1,0
DADS,1,0
DAMMIT,1,0
DAN,1,0
DARLIN,6,0
DAS,1,0
DATE,1,4
DATEBox1282EssexCM61XN,0,2
DAY,8,2
DAYS,1,1
DD,1,0
DE,1,0
DEAD,1,0
DECIDED,1,0
DECIMAL,23,0
DEF,1,0
DEFO,1,0
DEL,1,0
DENA,0,1
DETAILS,1,0
DEVIOUSBITCH.ANYWAY,1,0
DID,6,0
DIDNT,1,0
DIDNT,1,0
DIGITAL,0,1
DIRTY,1,1
DIS,0,2
DISCOUNT,1,0
DLF,1,0
DO,9,0
DOCKS,1,0
DOES,1,0
DOESDISCOUNT,1,0
DOESNT,1,0
DOGBREATH,1,0
DOIN,4,0
DONATE,0,1
DONE,4,2
DONT,1,1
DONTIGNORE,1,0
DONTPLEASE,1,0
DONT,3,0
DOT,0,2
DOUBLE,0,4
DOWN,3,0
DOWNON,1,0
DPS,0,1
DRACULA,0,2
DRAW,0,3
DREAMS,2,0
DREAMZ,1,0
DRINK,2,0
DRIVE,1,0
DRUNK,1,0
DUE,0,1
DUMB,1,0
DVD,0,7
Da,3,0
Dad,8,0
Daddy,4,0
Dai,3,0
Damn,5,0
Dan,1,0
Dare,1,0
Darling,1,0
Darren,4,0
Dasara,1,0
Dat,2,0
Date,2,1
Dates,0,1
Dating,0,1
Datz,2,0
Dave,1,2
Day,9,7
De,1,0
Deal,1,0
Dear,38,16
Dear1,3,0
December,0,5
Declare,1,0
Deeraj,2,0
Def,1,0
Del,0,8
Delhi,2,0
Deliver,1,0
Delivered,0,2
DeliveredTomorrow,0,3
Delivery,0,6
Den,9,0
Dependable,1,0
Depends,4,0
Derp,1,0
Designation,1,0
Desires,1,0
Desires-,1,0
Determined,1,0
Detroit,1,1
Devils,0,1
Dey,3,0
Dhoni,1,0
Dial,0,1
Dick,0,1
Dictionary,3,0
Did,52,1
Die,3,0
Digital,0,6
Dileep.thank,1,0
Din,1,0
Ding,1,0
Dino,1,0
Dint,1,0
Dip,1,0
Direct,0,2
Dirty,1,0
Dis,2,0
Disconnect,2,0
Discussed,1,0
Diseases,1,0
Ditto,1,0
Divorce,0,1
Diwali,1,0
Dizzamn,1,0
Dizzee,0,1
Dload,0,5
Dnt,2,0
Do,124,15
Doc,2,0
Doctor,2,0
Does,12,0
Dogging,0,9
Doggy,1,0
Doing,3,0
Doll,1,0
Dolls,1,0
Dom,1,0
Don,8,0
Don't4get2text,1,0
Done,2,0
Dont,35,4
DontCha,0,1
Dormitory,1,0
Dorothy,0,1
Double,2,13
DoubleMins,0,1
DoubleTxt,0,1
Download,0,1
Dozens,0,1
Dr,1,0
Draw,1,2
Dream,0,2
Drink,1,0
Drinks,0,2
Driver,1,0
Drop,1,2
Duchess,0,2
Dude,11,0
Dun,9,0
Dunno,18,0
Dvd,1,0
E,7,2
E-namous,1,0
E-ternal,1,0
E.G.23F,0,1
E14,0,1
E=,0,2
EACHOTHER,1,0
EASTENDERS,0,2
EAT,1,0
EH74RR,0,1
ELLO,1,0
EMAIL,1,0
ENC,1,0
END,1,3
ENG,0,4
ENGLAND,0,5
ENJOY,0,1
ENJOYIN,2,0
ENTER,0,3
ENTRY,0,1
ENUFCREDEIT,1,0
ER,1,0
ESPECIALLY,1,0
EURO,0,2
EURO2004,0,2
EVE,3,2
EVEN,1,0
EVENING,2,0
EVER,1,1
EVERY,0,1
EVERY1,1,0
EVERYTHIN,1,0
EVONE,1,0
EXACT,1,0
EXAMS,1,0
EXETER,1,0
EXORCIST,0,2
EXP,0,1
EXPLAIN,1,0
EXPLOSIVE,0,2
EXTREME,0,1
EY,1,0
Each,3,0
Early,1,0
Earth,1,0
East,1,0
Easter,0,1
Easy,4,0
Eat,2,0
Eatin,1,0
Echo,0,1
Eckankar,1,0
Edison,2,0
Ee,1,0
Eek,2,0
Eerie,0,2
Egbon,1,0
Eh,6,0
Eire,0,2
Either,1,0
Ela,1,0
Election,1,0
Eleven,1,0
Elvis,0,1
Em,1,0
Email,0,1
Emily,1,0
Emotion,1,0
En,1,0
End,0,2
Energy,0,3
England,0,4
English,1,0
Enjoy,13,6
Enna,1,0
Entry41,0,2
Er,4,0
Erm,3,0
Err,1,0
Erutupalam,1,0
Ese,1,0
Especially,2,0
Esplanade,1,0
Eta,1,0
Euro,0,1
Euro2004,0,3
EuroDisinc,0,2
Europe,0,1
Eve,0,2
Even,15,0
Evening,2,0
Evenings,1,0
Ever,3,1
Every,7,0
Everybody,1,0
Everyday,1,0
Everyone,0,1
Everything,2,0
Everytime,1,0
Evn,1,0
Evr,2,0
Evrey,2,0
Evry,1,0
Ew,1,0
Exactly,1,0
Exam,1,0
Excellent,5,0
Except,1,0
Executive,2,0
Exorcism,1,0
Expected,1,0
Expecting,1,0
Expires,0,17
Explain,1,0
Express,2,0
Expression,1,0
Extra,0,1
Eyed-Dont,0,1
Eyes,2,0
F,0,4
F=,0,2
FA,0,4
FANCY,1,0
FANTASIES,0,5
FANTASTIC,0,4
FANTASY,0,2
FAR,2,0
FAV,0,1
FEEL,2,0
FEELINGOOD,1,0
FEELLIKW,1,0
FFFFUUUUUUU,1,0
FIELDOF,1,0
FIFA,0,1
FIFTEEN,1,0
FIGHTS,1,0
FILTH,0,1
FINAL,0,2
FIND,1,2
FINE,1,0
FINEST,0,1
FINISH,2,0
FIRST,1,1
FIT,1,0
FIZZ,1,0
FLAG,0,4
FLOWER,1,2
FM,0,1
FML,0,2
FONE,5,0
FONIN,1,0
FOR,4,9
FOREVER,1,0
FOUNDURSELF,1,0
FR'NDSHIP,1,0
FRAN,3,0
FRANYxxxxx,1,0
FREE,1,115
FREE-Nokia,0,1
FREE2DAY,0,2
FREEFONE,0,2
FREEMSG,0,1
FREEPHONE,0,8
FREINDS,1,0
FRESHERS,1,0
FRIEND,4,0
FRIENDS,1,0
FRIENDSHIP,2,0
FRMCLOUD,1,0
FRND,0,6
FRNDS,2,0
FRNDSHIP,2,0
FROM,4,4
FROMWRK,1,0
FUCK,2,0
FUCKED,1,0
FUCKIN,2,0
FUCKING,2,0
FUCKINNICE,1,0
FUDGE,1,0
FUNNY,1,0
Face,1,0
Facebook,2,0
Fails,2,0
Fair,1,0
Faith,1,0
Fancy,1,5
Fantasy,0,2
Farm,1,0
Farrell,0,1
Fat,1,0
Father,1,0
Fear,2,0
Feb,2,1
Feel,2,0
Feelin,0,1
Feeling,1,0
Feels,1,0
Fffff,1,0
Ffffffffff,1,0
Fifty,1,0
Fighting,3,0
Filling,1,0
Fills,1,0
Filthy,0,1
Final,0,3
Finally,3,0
Find,1,3
Fine,4,0
Fingers,2,0
Finish,3,0
Finished,1,0
First,7,0
First-,1,0
Flag,0,1
Flight,0,1
Flirt,0,1
Flung,1,0
Fml,1,0
Foley,0,2
Follow,1,0
Foned,1,0
Food,1,0
Fools,1,0
Football,0,2
For,17,24
Force,1,0
Forever,1,0
Forevr,1,0
Forgets,1,0
Forgot,4,0
Forwarded,0,4
Found,4,0
Fr,1,0
Frankie,1,0
Franxx,1,0
Fredericksburg,1,0
Free,4,42
Free-message,0,1
FreeMSG,0,1
FreeMsg,0,11
Freeentry,0,1
Freemsg,0,1
Fresh,1,0
Fri,0,2
Friday,3,0
Friends,10,0
Friendship,9,0
Frnd,2,0
Frog-AXEL,0,1
From,6,11
Fuck,10,0
Full,1,0
Fun,1,0
Funny,1,0
Future,1,1
Fuuuuck,1,0
Fwiw,1,0
Fyi,2,0
G,9,3
G.,0,1
G.B,0,1
G.W.R,1,0
G2,0,1
GAIL,1,0
GAILxx,1,0
GAME,0,1
GANG,1,0
GAS,1,0
GBP,0,1
GBP/week,0,1
GBP1.50/week,0,1
GBP4.50/week,0,1
GBP5/month,0,1
GE,2,0
GENDER,0,2
GENT,0,2
GET,2,5
GETTIN,1,0
GHOST,0,2
GIFTS,1,0
GIMMI,1,0
GIRL,3,2
GIRLS,1,1
GIV,1,1
GIVE,4,0
GIVEN,1,0
GM,2,0
GM+GN+GE+GN,3,0
GMW,0,1
GN,3,0
GNT,2,0
GO,8,11
GOD,10,0
GOIN,3,0
GOING,1,3
GON,1,0
GONE,1,0
GONNAMISSU,1,0
GOOD,12,0
GOODEVENING,1,0
GOODFRIEND,2,0
GOODMORNING,6,0
GOODNIGHT,2,0
GOODNITE,1,0
GOODNOON,1,0
GOODTIME,1,0
GORGEOUS,1,0
GOSS,1,0
GOSSIP,1,0
GOT,7,1
GOTMARRIED,1,0
GOWER,1,0
GR8FUN,1,0
GRAN,1,0
GRAVEL,0,1
GREAT,1,1
GROW.RANDOM,1,0
GSOH,0,1
GUARANTEED,0,23
GUD,3,0
GURL,1,0
Gain,1,0
Gal,1,0
Gam,1,0
Game,0,2
Games,0,5
Gamestar,0,2
Ganesh,1,0
Garbage,1,0
Gary,3,0
Gay,0,2
Gaze,1,0
Gd,4,0
Ge,2,0
Gee,6,0
Geeee,5,0
Geeeee,2,0
Genius,1,0
Gently,3,0
Geoenvironmental,1,0
George,0,2
Germany,0,3
Get,9,34
Gettin,1,0
Getting,2,0
Gibbs,1,0
Gift,0,4
Gim,2,0
Gin,2,0
Girl,0,1
Girls,1,0
Give,5,2
Glad,4,0
Gn,2,0
Gnarls,0,1
Go,10,4
GoTo,0,1
Goal,0,1
God,20,0
Gods,2,0
Goin,1,0
Going,15,0
Gokila,1,0
GoldDigger,0,1
Golf,0,1
Good,69,8
Goodmorning,9,0
Goodnight,4,0
Goodnoon,1,0
Goodo,2,0
Google,2,0
Gopalettan,1,0
Gosh,1,0
Gossip,0,1
Got,25,2
Goto,0,1
Gr8,1,5
Grahmbell,3,0
Granite,0,2
Gravity,4,0
Grazed,1,0
Great,20,4
Green,1,0
Greetings,1,0
Grl,4,0
Grumpy,1,0
Gsex,0,1
Guai,1,0
Guaranteed,0,1
Gud,44,0
Gudni8,1,0
Gudnite,3,0
Gudnyt,1,0
Guess,6,6
Guessin,1,0
Guide,2,0
Guild,1,0
Gumby,1,0
Guy,1,0
Guys,1,0
Gyno,1,0
H,2,0
HAD,5,0
HALF,0,1
HAPPY,9,0
HARD,1,0
HARDCORE,0,1
HARDEST,1,0
HARRY,0,2
HAS,1,0
HATES,1,0
HAUGHAIGHGTUJHYGUJ,1,0
HAV,1,0
HAVBEEN,1,0
HAVE,11,2
HAVEBEEN,1,0
HAVENT,1,0
HAVENTCN,1,0
HAVIN,1,0
HAVING,1,0
HCL,1,0
HEART,4,1
HELL,1,0
HELLO,8,1
HELLOGORGEOUS,1,0
HELP,0,3
HER,2,0
HEY,10,0
HG/Suite342/2Lands,0,7
HG/Suite342/2Lands/Row/W1J6HL,0,3
HG/Suite342/2lands,0,1
HI,12,1
HIDE,0,1
HIM,3,0
HIS,2,0
HIT,1,1
HIYA,2,0
HL,0,6
HMM,1,0
HMV,0,10
HMV1,0,1
HOLIDAY,2,0
HOME,4,0
HON,1,0
HONEY,1,0
HONI,1,0
HOPE,7,0
HOPEU,1,0
HORO,0,2
HOSPITAL,1,0
HOT,0,5
HOTMIX,0,1
HOUSE,2,0
HOW,5,0
HOWDY,1,0
HOWS,2,0
HOWU,1,0
HP20,0,1
HRS,1,0
HTTP,0,1
HU,1,0
HUN,2,0
HUNNY,4,0
Ha,9,0
Habit,1,0
Hack,0,1
Had,5,15
Haf,2,0
Haha,47,0
Hahaha,3,0
Hai,3,0
Haiyoh,1,0
Haiz,3,0
Half,0,7
Hallaq,2,0
Halloween,0,3
Hands,1,0
Handset,0,2
Hang,1,0
Hanging,1,0
Hanumanji,1,0
Happy,50,0
Hard,0,2
Hardcore,0,1
Hari-,1,0
Harish,1,0
Harry,0,1
Has,2,0
Hasbro,1,0
Hav,3,0
Have,83,5
Havent,6,0
Having,1,0
Havnt,3,0
He,58,0
Head,1,0
Headin,1,0
Headset,0,1
Healer,1,0
Hear,3,0
Heart,5,0
Hearts,1,0
Hee,11,0
Heehee,1,0
HehE,1,0
Height,4,0
Helen,0,1
Hell,1,0
Hello,32,3
Hello-,1,0
Hello-/,1,0
Hello.How,1,0
Helloooo,2,0
Help,1,4
Help08700621170150p,0,1
Help08714742804,0,1
Help08718728876,0,2
Helpline,0,2
Henry,0,2
Her,1,0
Here,3,1
Hero,1,0
Heroes,0,1
Hey,92,5
Hhahhaahahah,1,0
Hi,75,16
Hi.what,1,0
High,0,2
Him,0,1
Hint,1,0
His,9,0
History,1,0
Hit,0,1
Hitler,1,0
Hiya,6,0
Hlp,0,2
Hm,2,0
Hmm,11,0
Hmmm,9,0
Hmmm.but,1,0
Hmmm.still,1,0
Hmmmm,1,0
Hmph,1,0
Ho,2,0
Hockey,0,1
Hogli,1,0
Hogolo,1,0
Hol,0,1
Holby,1,0
Holder,0,5
Holding,1,0
Holiday,0,21
Holla,1,0
Hols,0,2
Holy,1,0
Home,1,1
Homeowners,0,3
Honestly,1,0
Honey,3,0
Honeybee,3,0
Hoody,0,1
Hope,45,2
Hopefully,2,0
Hoping,1,0
Horrible,3,0
Hospital,1,0
Hospitals,1,0
Host-based,1,0
Hot,0,2
Hotel,0,1
Hottest,0,1
House-Maid,4,0
How,152,5
Howda,1,0
However,1,0
Hows,9,0
Howz,6,0
Hrishi,2,0
Hubby,0,1
Hugs,2,0
Huh,11,0
Hui,1,0
Hungry,0,1
Hurry,4,0
Hurt,3,0
Hurts,2,0
Hyde,1,0
Hype,1,0
I,1933,42
I'ma,1,0
I-ntimate,1,0
I.,0,9
I.ll,19,0
IAS,2,0
IBH,0,2
IBHltd,0,3
IBN,2,0
ID,2,1
IDIOT,1,0
IDPS,1,0
IF,9,1
IFINK,1,0
IG11,0,1
IJUST,1,0
IKEA,2,0
IKNO,1,0
IKNOW,1,0
IL,3,0
ILEAVE,1,0
ILL,2,0
ILLSPEAK,1,0
IM,22,0
IMAT,1,0
IMF,1,0
IMIN,1,0
IMPORTANT,1,3
IN,18,3
INC,0,1
INCLU,0,1
INCONVENIENCE,1,0
INDIA,1,1
INDIANS,1,0
INDYAROCKS.COM,1,0
INFORM,1,0
INFORMATION,0,2
INK,1,0
INR,2,0
INSTEAD,1,0
INTELLIGENT,1,0
INTERFLORA,0,1
INTERVIW,1,0
INTO,1,0
INVITED,1,0
IP4,0,1
IQ,4,0
IS,21,8
ISH,1,0
ISNT,1,0
ISV.IMPORTANT,1,0
IT,10,2
IT+BOTH,1,0
IT.,1,0
ITS,9,0
ITXT,1,0
IVE,4,0
IWANA,1,0
Iam,5,0
Ibiza,0,4
Ic,1,0
Ice,0,1
Icic,1,0
Id,3,0
Idea,1,0
Identifier,0,16
Idk,3,0
If,119,14
Ill,9,0
Ilol,1,0
Im,19,5
Imagine,2,0
Immediately,3,0
Important,0,2
Imprtant,1,0
In,36,2
Including,3,0
Inclusive,0,1
Incorrect,0,1
Incredible,0,2
Indeed,1,0
Independence,1,0
India,6,0
Indian,4,0
Indian.Pls,1,0
Indians,3,0
Indyarocks.com,1,0
Inever,1,0
Infact,1,0
Inform,1,0
Information,0,1
Innocent,1,0
Insha,1,0
Instant,0,1
Intelligent,1,0
Interflora,0,1
Invaders,0,2
Invest,1,0
Iraq,1,0
Iriver,1,0
Irritates,2,0
Is,53,1
Isaiah.=D,1,0
Islands,0,2
It,110,4
It'snot,1,0
Italian,3,0
Itna,1,0
Its,75,2
Itz,2,0
Its,1,0
Ive,1,0
Iwas+marine,1,0
Iyo,1,0
Izzit,3,0
IL,1,0
ILLSPEAK,1,0
Im,1,0
Ive,1,0
J,5,0
J89,0,1
JADE,1,0
JAN,1,0
JANE,0,1
JANINExx,0,1
JANX,1,0
JAZ,1,0
JD,2,0
JEN,3,0
JESS,2,0
JJC,1,0
JOBYET,1,0
JSCO,0,1
JSco,0,1
JULY,1,0
JUS,2,0
JUST,10,0
JUSWOKE,1,0
Jackpot,0,2
Jada,4,0
James,1,1
Jamster,0,2
Jamz,0,1
Jane,1,0
January,4,1
Japanese,2,0
Jason,1,0
Jay,6,0
Jealous,1,0
Jen,1,0
Jenny,1,0
Jenxxx,1,0
Jeremiah,1,0
Jeri,0,1
Jerk,1,0
Jerry,2,0
Jersey,0,1
Jesus,2,0
Jez,1,0
Jia,2,0
Joanna,2,0
John,8,0
Join,0,7
Joke,1,0
Jokes,3,0
Jokin,1,0
Joking,1,0
Jolly,1,0
Jon,1,0
Jones,1,0
Jordan,1,4
Jorge-Shock,0,1
Jos,1,0
Joy,8,0
Jst,0,1
Jstfrnd,3,0
Jsut,2,0
July,0,2
June,1,1
Junna,1,0
Jus,12,0
Just,89,31
Juz,6,0
K,67,0
K.,6,0
K.i,2,0
K.k,5,0
K.k.how,1,0
K.k.this,1,0
K.then,1,0
K52,0,3
K61,0,1
K718,0,1
KATE,4,0
KAVALAN,2,0
KEEP,1,2
KING,2,1
KISS,1,0
KL341,0,2
KNACKERED,1,0
KNOW,6,0
KNOWS,1,1
KR,2,0
KUDI,2,0
Kaiez,2,0
Kallis,2,0
Kanagu,1,0
Karaoke,0,1
Kate,7,0
Katexxx,1,0
Kath,0,1
Kay,2,0
Keep,6,1
Keep-in-touch,1,0
Ken,0,1
Kent,1,0
Kerala,3,0
KeralaCircle,2,0
Keris,1,0
Kicchu,1,0
Kick,0,1
Kids,5,0
Kidz,4,0
Kind,3,0
Kinda,1,0
Kindly,1,0
King,1,2
Kingdom,0,1
Kit,0,1
Knock,0,2
Know,1,0
Kothi,1,0
Kusruthi,4,0
L,1,0
L-oveable,1,0
L8ER,0,1
L8R,2,0
L8TR,1,0
L8r,1,0
LA1,0,1
LA3,0,1
LA32WU,0,1
LADIES,0,1
LAPTOP,1,0
LAST,3,0
LATE,2,0
LATER,1,0
LAY,1,0
LCCLTD,0,2
LDN,0,7
LE,0,2
LEAVE,2,0
LEKDOG,1,0
LES,1,0
LET,2,0
LETS,1,0
LIFE,2,1
LIFT,1,0
LIKE,4,0
LIKELY,1,0
LIKEYOUR,1,0
LIKING.BE,1,0
LILY,0,2
LISTEN,0,1
LISTENING,0,1
LITTLE,1,0
LIVE,0,10
LKPOBOX177HP51FL,0,1
LMAO,1,0
LOCAL,1,0
LOCAXX,1,0
LOG,0,2
LOL,5,0
LONG,2,0
LONGER,1,0
LOOK,3,0
LOOKIN,1,0
LORD,0,1
LOST,0,2
LOT,1,0
LOTR,0,2
LOTS,1,0
LOU,1,0
LOVE,25,4
LOVEJEN,1,0
LOVEME,2,0
LRG,1,0
LS1,0,2
LS15HB,0,2
LS278BB,0,1
LST,1,0
LUCKY,0,2
LUCY,0,1
LUCYxx,1,0
LUSH,1,0
LUTON,1,0
LUV,7,0
Lacs.there,3,0
Ladies,1,0
Lancaster,1,0
Landline,0,7
Lands,1,0
Langport,1,0
Lara,1,0
Large,0,1
Last,7,9
Later,6,0
Latest,0,10
Laugh,1,0
Laughed,3,0
Laughing,2,0
Ldn,0,3
LdnW15H,0,3
Leaf/Day=No,1,0
Leanne.what,1,0
Leave,3,0
Leaving,1,0
Left,2,0
Lem,2,0
Lessons,1,0
Let,16,0
Lets,8,0
Libertines,0,1
Lies,1,0
Life,12,0
Lifpartnr,3,0
Like,8,0
Lil,1,0
Limited,1,0
Lindsay,1,0
Line,0,2
Linerental,0,2
Lion,1,0
Lions,0,2
Litres,1,0
Live,3,0
Liverpool,0,3
Living,2,0
Lk,1,0
Lmao,5,0
Loads,1,0
Loan,0,3
Loans,0,1
Log,2,1
Logon,0,1
Lol,57,0
Lolnice,1,0
Lololo,1,0
London,1,4
Long,3,0
LookAtMe,0,2
Looking,1,0
Looks,4,0
Lool,1,0
Loooooool,1,0
Loosu,1,0
Lots,1,1
Lovable,4,0
Love,31,0
Loved,1,0
Lovely,5,0
Lover,5,0
Loverboy,1,0
Loves,5,0
Loving,3,0
Low-cost,0,1
Loyalty,0,4
Ltd,0,13
Ltd.,0,2
"Ltd.£1,50/Mtmsgrcvd18+",0,1
LtdHelpDesk,0,1
Luck,0,3
Luckily,1,0
Lucky,2,0
Lucozade,0,2
Lucy,0,1
Lul,1,0
Luv,0,5
Lux,0,2
Lvblefrnd,3,0
M,1,1
M.,0,9
M221BP,0,2
M227XY,0,2
M26,0,3
M263UZ,0,4
M39M51,0,1
M6,0,2
M60,0,1
M95,0,2
MAD1,0,1
MAD2,0,1
MADE,2,0
MAHAL,1,0
MAKE,1,0
MALL,1,0
MAN,4,0
MANEESHA,3,0
MARCH,1,0
MARSMS,0,1
MAT,0,1
MATCH,0,1
MATCHED,0,1
MATE,3,0
MAYBE,1,0
ME,34,0
MECAUSE,1,0
MEET,3,0
MEETIN,1,0
MEGA,0,1
MELNITE,1,0
MEMBERS,0,2
MEREMEMBERIN,1,0
MESSAGE,1,4
MESSED,1,0
MF,0,1
MFL,0,1
MIDNIGHT,1,0
MILLIONS,1,0
MIN,0,1
MINE,2,0
MINI,1,0
MINS,0,1
MINUTES,3,0
MISS,4,0
MISSED,1,0
MISSIN,1,0
MISSY,1,0
MISTAKE.U,1,0
MITE,1,0
MIX,0,3
MK17,0,2
MK45,0,2
MMM,2,0
MMSto,0,1
MO,3,0
MOAN,0,1
MOB,0,1
MOBNO,0,2
MOMENT,1,0
MON.L8RS.x,1,0
MONKEESPEOPLE,1,0
MONKEYAROUND,1,0
MONO,0,1
MONOC,0,1
MOON,1,0
MORAL,3,0
MORE,2,1
MORNING,2,0
MOST,2,0
MOVIE,1,0
MP3,0,5
MQUIZ,0,1
MR,2,0
MRNG,2,0
MSG,1,4
MSGS,0,1
MTALK,0,2
MUCH,8,0
MUCHXXLOVE,1,0
MUM,2,0
MUMS,1,0
MUNSTERS,0,2
MUSIC,0,10
MUST,0,3
MY,24,0
MYCALLS,1,0
MYSELF,1,0
Ma,1,0
Maat,1,0
Macedonia,0,1
Macha,1,0
Machan,1,0
Madam,1,0
Made,1,0
Mah,1,0
Mailbox,0,2
Maintain,3,0
Make,8,2
Makes,1,0
Making,2,0
Male,0,2
Mallika,1,0
Man,9,0
Manchester,0,1
Mandan,2,0
Mandy,0,1
Many,5,0
Map,2,0
March,2,0
Maretare,1,0
Margaret,3,0
Mark,6,0
Marley,0,1
Married,0,1
Marvel,0,1
Match,1,0
Mathe,1,0
Mathews,1,0
Matrix3,0,3
Matthew,0,1
Max10mins,0,6
May,18,2
Mayb,2,0
Maybe,12,0
McFly-All,0,1
Me,23,1
Means,2,0
Meanwhile,4,0
Meat,1,0
Meds,1,0
Meet,2,0
Meet+Greet,0,2
Meeting,3,0
Melle,3,0
Men,2,0
Merry,9,0
Message,3,1
Messages,0,3
Messaging,0,2
Met,3,0
Michael,1,0
Midnight,1,1
Might,3,0
Mila,0,2
Mileage,1,0
Miles,1,0
Milk/day=No,1,0
Min,0,1
Mind,4,0
Mine,2,0
Minimum,1,0
Minnaminunginte,3,0
Mins,0,9
Miserable,1,0
Misplaced,1,0
Miss,10,0
Missed,1,1
Missing,8,0
Mite,1,0
Mittelschmertz,1,0
Mm,10,0
Mmm,2,0
Mmmm,3,0
Mmmmm,2,0
Mmmmmm,2,0
Mmmmmmm,1,0
Mnths,0,2
Mob,0,5
MobStoreQuiz10ppm,0,1
MobcudB,0,1
Mobile,2,28
MobileUpd8,0,15
Mobiles,0,3
MobilesDirect,0,3
Mobileupd8,0,1
Moby,0,2
Mode,1,0
Moji,3,0
MojiBiola,2,0
Mom,1,0
Moment,1,0
Moms,1,0
Mon,1,0
Monday,3,0
Money,1,1
Monthly,0,1
MonthlySubscription,0,1
Moon,1,3
Moral,6,0
More,2,9
Morning,10,0
Mornings,1,0
Most,2,0
Mostly,1,0
Mother,2,0
Mother-in-law,1,0
Motivate,1,0
Motorola,0,11
Mountains,1,0
Movie,0,1
Mr,3,0
Mr.,0,2
Ms.Suman,1,0
Msg,6,4
Msg150p,0,2
Msgs,1,2
Muah,2,0
Much,3,0
Muhommad,1,0
Multiply,1,0
Mum,5,0
Mumtaz,4,0
Murdered,3,0
Music,0,3
Must,4,0
Musta,1,0
Muz,4,0
Mwahs,1,0
My,102,1
MySpace,1,0
Mystery,1,1
N,6,0
N'T,2,0
N-Gage,0,1
N-atural,1,0
N-oble,1,0
NA,4,0
NAKED,4,0
NAME,2,4
NAME1,0,2
NAME2,0,2
NBME,1,0
NEED,6,0
NEEDS,1,0
NEFT,2,0
NEO69,0,1
NETHING,1,0
NETWORKS,0,1
NEVA,2,0
NEVER,2,0
NEW,6,12
NEWAY,1,0
NEWQUAY-SEND,1,0
NHS,1,0
NIC,1,0
NICE,11,0
NICHOLS,1,1
NIGHT,5,0
NITE,2,0
NITE+2,1,0
NITW,1,0
NO,8,3
NO-165,0,1
NO-434,0,1
NO-440,0,2
NO-762,0,1
NO-910,0,1
NO.1,1,0
NOK,0,2
NOKIA,0,15
NOKIA6600,0,2
NONE,1,0
NOT,10,0
NOTHING,2,2
NOW,7,45
NOW1,0,1
NOWHERE,1,0
NR31,0,1
NRI,1,0
NTT,0,10
NUMBER,1,1
NUMBER-SO,1,0
NVQ,1,0
NY,1,0
NY-USA,0,1
NYTHO,1,0
Nah,10,0
Name,2,1
Nan,2,0
Nasdaq,0,2
Natalie,0,1
Natalja,0,2
National,0,5
Nationwide,1,0
Natural,1,0
